N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency,label_encoded
0.6428571428571428,0.2642857142857143,0.19,0.34588613517306543,0.7902668315256756,0.4662636371578488,0.6564577820612741,rice,0.9723737458734121,0.5,0.5259615233386303,0.5056429294409053,0.8562439294010717,0.23542719294855252,0.6000000000000001,0.44978038520862035,0.5760045525694651,0.9212990793954314,0.0,0.054064956497056456,1.0,0.9568850139949169,0.0478562768083734,20
0.6071428571428571,0.37857142857142856,0.18000000000000002,0.37144489052164653,0.770632850772957,0.5494802634661211,0.7416745925400796,rice,0.14153293941882517,1.0,0.10780288735093735,0.6026077804297031,0.514592205134595,0.1265674139000582,0.6000000000000001,0.7870165121576491,0.7473932462328421,0.13856805505106884,0.0,0.09398174340084339,0.5,0.7728624227964218,0.18787505601735355,20
0.42857142857142855,0.35714285714285715,0.195,0.4068538975127376,0.7939766359872729,0.6742187657204011,0.8757103904101947,rice,0.9682607648904233,0.5,0.6973231962603521,0.45268596136713307,0.07417838464018534,0.05242347826087222,0.0,0.51054362414349,0.00996915535851978,0.9465448870023188,0.0,0.6085925458129403,0.5,0.18154982518969082,0.5089918599633212,20
0.5285714285714286,0.2142857142857143,0.17500000000000002,0.5069013976025663,0.7687514436037337,0.5405078809463393,0.7999054664892735,rice,0.8102431506135201,1.0,0.432450847706749,0.398267321023545,0.1369524812788243,0.8214799307826999,0.0,0.3910816347914114,0.24066841782527917,0.03706561715754658,1.0,0.21697786856572682,1.0,0.8284469590338063,0.06789303943454855,20
0.5571428571428572,0.2642857142857143,0.185,0.32437759003690736,0.7856255161385323,0.6412913769420499,0.8712307343962911,rice,0.9118023998998877,0.5,0.4463024374602511,0.9636209162308792,0.6036533217374203,0.46672333285369133,0.4000000000000001,0.5905292620654987,0.3879442556267329,0.9017009383928343,0.5,0.9439457941779705,1.0,0.25436422958871824,0.3946321126889874,20
0.4928571428571428,0.2285714285714286,0.185,0.4083916263333298,0.8062177449543491,0.5549787519923273,0.8293324448982635,rice,0.6803408146534475,1.0,0.8401687154480515,0.1363760415901592,0.787404270118734,0.5507765700209396,0.8,0.5655404566301263,0.8207984144387196,0.5723297748815384,1.0,0.843253177367727,1.0,0.4341381090917345,0.1881113462828659,20
0.4928571428571428,0.35714285714285715,0.165,0.3983711798293118,0.7976938172769268,0.3415144311123298,0.9021542316518835,rice,0.2658225299131557,0.5,0.533040529039186,0.23574412899927527,0.48323835466346843,0.7098838267011597,0.0,0.5661501675761842,0.4880299973849888,0.4738107663060919,0.0,0.03150450677102789,1.0,0.5001289041431637,0.5430274764199685,20
0.6714285714285714,0.34285714285714286,0.17500000000000002,0.3286120109658345,0.8006646625084191,0.3442859023549095,0.7967086172840259,rice,0.5412835179527657,1.0,0.8181553908769346,0.3314261701524279,0.29850969879961564,0.026535955968362876,0.6000000000000001,0.24201873662459145,0.8013320304158578,0.9716502389385275,0.0,0.28809861194868686,0.0,0.18052677095466235,0.545036088686065,20
0.6357142857142857,0.35,0.165,0.4502234639412419,0.808143680462121,0.49462312933422425,0.7552931093745895,rice,0.8319179309335458,0.5,0.9440862637912764,0.3655376537472471,0.9634837423862601,0.8690384474792405,0.2,0.4174925466154464,0.8988085259815196,0.15514888458968928,1.0,0.9629154487026734,1.0,0.9841859038088199,0.13238312332550795,20
0.4857142857142857,0.37857142857142856,0.165,0.4131527742551885,0.8022877900557605,0.44033471146007563,0.7221079889797883,rice,0.7181776468026104,1.0,0.20205678455618759,0.770094531141379,0.27402287354410726,0.35995261205390716,0.0,0.45922520433790764,0.2652054267962462,0.15077374046288666,0.0,0.9130574342093926,0.5,0.6334268654110007,0.8973036795268461,20
0.65,0.34285714285714286,0.17500000000000002,0.5079383837837773,0.7834401915158342,0.2925842082150222,0.8780478245326272,rice,0.5224338986523966,0.5,0.2048793862214252,0.9124487420416084,0.4747839862746548,0.7428257082809345,0.4000000000000001,0.9876731473042106,0.430002073154398,0.2546795276435671,0.0,0.508761754059841,1.0,0.007488266493905657,0.11863329089530761,20
0.6428571428571428,0.29285714285714287,0.185,0.4348174011233198,0.7838260526889486,0.6217529136650028,0.8258412639578887,rice,0.26937258315645096,0.5,0.5084389157430442,0.176634796734902,0.3784400465406508,0.25665510515329004,0.2,0.06809079663171974,0.6542669255089415,0.7490430062075866,0.0,0.7280142520906883,0.5,0.7923421958134139,0.9897825826175626,20
0.5571428571428572,0.37857142857142856,0.195,0.5157880921411019,0.7772494951643334,0.24943158014966904,0.949259137235603,rice,0.28398638952250066,0.0,0.13758475627844657,0.3949070143444185,0.09042947265524992,0.5712645422052158,1.0000000000000002,0.18361182826787997,0.4476311905933304,0.9739658268118638,1.0,0.14033298357676774,1.0,0.26695276588642525,0.14191153916556543,20
0.6642857142857143,0.36428571428571427,0.155,0.43585023434170245,0.7908982497215867,0.5411225849858909,0.5930186936723807,rice,0.4044358276208003,1.0,0.7880105575678422,0.2124701048554842,0.8992808157481518,0.24512801048372185,0.2,0.17008223892547952,0.8062693300113106,0.2193635411209745,0.0,0.8085549990189421,0.5,0.12408832396784457,0.006916218992972012,20
