N,P,K,temperature,humidity,rainfall,sunlight_exposure
0.6428571428571428,0.2642857142857143,0.19,0.3458861351730654,0.7902668315256756,0.6564577820612741,0.5259615233386303
0.6071428571428571,0.3785714285714285,0.18,0.3714448905216465,0.770632850772957,0.7416745925400796,0.1078028873509373
0.4285714285714285,0.3571428571428571,0.195,0.4068538975127376,0.7939766359872729,0.8757103904101947,0.6973231962603521
0.5285714285714286,0.2142857142857143,0.175,0.5069013976025663,0.7687514436037337,0.7999054664892735,0.432450847706749
0.5571428571428572,0.2642857142857143,0.185,0.3243775900369073,0.7856255161385323,0.8712307343962911,0.4463024374602511
0.4928571428571428,0.2285714285714286,0.185,0.4083916263333298,0.8062177449543491,0.8293324448982635,0.8401687154480515
0.4928571428571428,0.3571428571428571,0.165,0.3983711798293118,0.7976938172769268,0.9021542316518836,0.533040529039186
0.6714285714285714,0.3428571428571428,0.175,0.3286120109658345,0.8006646625084191,0.7967086172840259,0.8181553908769346
0.6357142857142857,0.35,0.165,0.4502234639412419,0.808143680462121,0.7552931093745895,0.9440862637912764
0.4857142857142857,0.3785714285714285,0.165,0.4131527742551885,0.8022877900557605,0.7221079889797883,0.2020567845561875
0.65,0.3428571428571428,0.175,0.5079383837837773,0.7834401915158342,0.8780478245326272,0.2048793862214252
0.6428571428571428,0.2928571428571428,0.185,0.4348174011233198,0.7838260526889486,0.8258412639578887,0.5084389157430442
0.5571428571428572,0.3785714285714285,0.195,0.5157880921411019,0.7772494951643334,0.949259137235603,0.1375847562784465
0.6642857142857143,0.3642857142857142,0.155,0.4358502343417024,0.7908982497215867,0.5930186936723807,0.7880105575678422
0.6714285714285714,0.3214285714285714,0.16,0.4832213803130185,0.7746481443629094,0.6803538197107313,0.3737666848296856
0.4285714285714285,0.3071428571428571,0.17,0.4435150642602466,0.7704066801900776,0.7575927373411898,0.7393051518266613
0.6071428571428571,0.2357142857142857,0.18,0.3661839184730865,0.7994314536987555,0.9213042496937238,0.8221772885909278
0.65,0.2142857142857143,0.17,0.4295071123183578,0.7717823034149283,0.6684055565882447,0.5598658847568847
0.5499999999999999,0.2357142857142857,0.155,0.3741648676868186,0.7691473446915107,0.7341282329996196,0.6586308809518964
0.6285714285714286,0.2142857142857143,0.175,0.4233526093558782,0.8087547924039359,0.9739123919526976,0.0222338279474865
0.6357142857142857,0.2857142857142857,0.155,0.3586637590362036,0.7724423810842008,0.5938095512598156,0.9014587834832242
0.5428571428571428,0.25,0.19,0.4686331625050921,0.8032666059104807,0.7586632702353184,0.3137191944606341
0.4785714285714285,0.3857142857142857,0.18,0.3765297279359804,0.7782643089414143,0.6938948179925413,0.4865336303861927
0.5928571428571429,0.2571428571428572,0.19,0.3508443185554795,0.7981485476264769,0.7648542974294824,0.4796837531461477
0.7,0.3,0.16,0.4206087551652157,0.7824499450014114,0.7323430612629788,0.9154990382544574
0.4714285714285714,0.3428571428571428,0.18,0.466285376663458,0.7730154716291151,0.8507044990646769,0.4623741057720081
